name,ra,dec,vmag
HIP 76297,233.7852516,-41.16669497, 2.80
HIP 75141,230.3430683,-40.64745946, 3.22
HIP 95347,290.9714641,-40.61564629, 3.96
HIP 38414,118.0543562,-40.57579889, 3.71
HIP 46651,142.6754706,-40.46688763, 3.60
HIP 13847,44.5654818,-40.30473491, 2.88
HIP 87073,266.8961714,-40.12698197, 2.99
HIP 39429,120.8961256,-40.00318846, 2.21
HIP 65936,202.7611186,-39.40727983, 3.90
HIP 86670,265.6219991,-39.02992092, 2.39
HIP 78384,240.0305854,-38.39664079, 3.42
HIP 82514,252.967662,-38.04732717, 3.00
HIP 82545,253.083973,-38.01747781, 3.56
HIP 37819,116.3137663,-37.96859848, 3.62
HIP 108085,328.481892,-37.3648229, 3.00
HIP 85696,262.690995,-37.29574016, 2.70
HIP 85927,263.4021937,-37.10374835, 1.62
HIP 35264,109.285684,-37.09748689, 2.71
HIP 87261,267.4643802,-37.04337105, 3.19
HIP 89642,274.4072049,-36.76128103, 3.10
HIP 65109,200.1502732,-36.71208109, 2.75
HIP 68933,211.6721861,-36.36869575, 2.06
HIP 75177,230.4518186,-36.26116729, 3.57
HIP 27628,87.7398034,-35.76929225, 3.12
HIP 25859,82.8030645,-35.47043592, 3.86
HIP 42515,130.0255689,-35.30830091, 3.97
HIP 90185,276.0431097,-34.3843146, 1.79
HIP 82396,252.5426874,-34.29260982, 2.29
HIP 26634,84.91224975,-34.07404941, 2.65
HIP 20535,66.00902233,-34.01698632, 3.97
HIP 20042,64.47341068,-33.79833145, 3.55
HIP 77634,237.7397573,-33.62710488, 3.97
HIP 30277,95.52852147,-33.43627251, 3.85
HIP 42828,130.8981145,-33.18641133, 3.68
HIP 32759,102.4602729,-32.50848752, 3.50
HIP 56343,173.2510794,-31.85752405, 3.54
HIP 21393,68.88779874,-30.56231049, 3.81
HIP 88635,271.4521859,-30.42365007, 2.98
HIP 30122,95.07827982,-30.06337656, 3.02
HIP 93506,285.6530143,-29.88011429, 2.60
HIP 89931,275.2484234,-29.82803914, 2.72
HIP 76600,234.6641015,-29.77768935, 3.66
HIP 113368,344.4117732,-29.62183701, 1.17
HIP 35904,111.023771,-29.30311979, 2.45
HIP 78104,239.2211944,-29.21401221, 3.87
HIP 14879,48.01783332,-28.98910623, 3.80
HIP 33579,104.6564445,-28.97208931, 1.50
HIP 37677,115.9519672,-28.9548352, 3.94
HIP 81266,248.9706642,-28.21596156, 2.82
HIP 76470,234.2560775,-28.13507099, 3.60
HIP 33856,105.4297988,-27.93484165, 3.49
HIP 93864,286.7351763,-27.66981416, 3.32
HIP 92041,281.4139708,-26.9907794, 3.17
HIP 37229,114.7078387,-26.8038924, 3.80
HIP 68895,211.5927873,-26.68201883, 3.25
HIP 80763,247.351948,-26.43194608, 1.06
HIP 34444,107.0978585,-26.39320776, 1.83
HIP 92855,283.8163196,-26.29659428, 2.05
HIP 78265,239.7130028,-26.1140428, 2.89
HIP 80112,245.2971772,-25.59275259, 2.90
HIP 90496,276.9927896,-25.42124732, 2.82
HIP 73714,226.0177579,-25.28185602, 3.25
HIP 84970,260.5024337,-24.99948797, 3.27
HIP 38170,117.3235781,-24.85978401, 3.34
HIP 39757,121.886259,-24.30443677, 2.83
HIP 33152,103.5331452,-24.18422296, 3.89
HIP 33977,105.7561399,-23.83330131, 3.02
